ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh,energy_type,TotalTherms,AverageTherms,location_id,temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°)
91901,1,2021,R,Y,8377,5606431.0,669.0,electricity,0.0,0.0,0,11.419354838709678,8.406451612903227,36998.01774193549,30892.7164516129,4.516129032258065,3.6903225806451614,0.5780645161290323,3.4516129032258065,16.306451612903224,38.74193548387097,135.1290322580645
91902,1,2021,R,N,6213,3277281.0,527.0,electricity,0.0,0.0,1,13.51290322580645,11.22258064516129,37033.96741935484,32171.057096774195,2.9451612903225803,2.9451612903225803,0.0,2.870967741935484,16.177419354838708,32.47096774193548,155.67741935483872
91905,1,2021,R,Y,301,221271.0,735.0,electricity,0.0,0.0,2,7.809677419354839,2.616129032258064,37033.96741935484,30511.483870967742,2.074193548387097,1.435483870967742,0.4470967741935484,4.032258064516129,27.274193548387096,58.42258064516129,107.19354838709675
91906,1,2021,R,Y,2024,1634976.0,808.0,electricity,0.0,0.0,3,9.112903225806452,4.341935483870968,37033.96741935484,30166.90967741936,2.793548387096774,1.8129032258064517,0.6864516129032258,3.7096774193548394,25.212903225806453,58.435483870967744,103.12903225806453
91910,1,2021,R,Y,25984,10347161.0,398.0,electricity,0.0,0.0,4,13.119354838709675,10.419354838709678,37033.96741935484,32304.90258064516,1.5612903225806452,1.5612903225806452,0.0,2.7096774193548385,19.741935483870968,36.79354838709677,152.5806451612903
91911,1,2021,R,Y,24090,10420799.0,433.0,electricity,0.0,0.0,5,13.070967741935483,10.525806451612905,37051.89548387097,32400.82935483871,1.5548387096774194,1.5548387096774194,0.0,2.935483870967742,19.080645161290324,38.36451612903225,167.5806451612903
91913,1,2021,R,N,17415,6886122.0,395.0,electricity,0.0,0.0,6,13.025806451612905,10.629032258064516,37033.96741935484,32171.057096774195,2.9451612903225803,2.9451612903225803,0.0,2.870967741935484,16.177419354838708,32.47096774193548,155.67741935483872
91914,1,2021,R,N,5148,2266120.0,440.0,electricity,0.0,0.0,7,12.558064516129033,10.058064516129033,37033.96741935484,32171.057096774195,2.9451612903225803,2.9451612903225803,0.0,2.870967741935484,16.177419354838708,32.47096774193548,155.67741935483872
91915,1,2021,R,Y,10729,4211013.0,392.0,electricity,0.0,0.0,8,12.85483870967742,10.412903225806453,37033.96741935484,32171.057096774195,2.9451612903225803,2.9451612903225803,0.0,2.870967741935484,16.177419354838708,32.47096774193548,155.67741935483872
91917,1,2021,R,N,225,225888.0,1004.0,electricity,0.0,0.0,10,10.706451612903225,7.541935483870968,37033.96741935484,30959.950967741934,2.6903225806451614,2.232258064516129,0.3206451612903225,3.5161290322580645,15.741935483870968,42.21935483870968,129.4516129032258
91932,1,2021,R,N,10329,3570765.0,346.0,electricity,0.0,0.0,12,13.5,11.041935483870969,37051.89548387097,32400.82935483871,1.5548387096774194,1.5548387096774194,0.0,2.935483870967742,19.080645161290324,38.36451612903225,167.5806451612903
91935,1,2021,R,N,2902,2315476.0,798.0,electricity,0.0,0.0,14,12.116129032258064,9.187096774193549,37016.00677419355,31170.598387096776,1.903225806451613,1.8322580645161293,0.0496774193548387,2.967741935483871,14.858064516129032,34.96451612903226,156.7741935483871
91941,1,2021,R,N,12876,6078990.0,472.0,electricity,0.0,0.0,15,13.196774193548388,10.596774193548388,36998.01774193549,32061.537096774195,2.551612903225806,2.551612903225806,0.0,2.870967741935484,16.10322580645161,38.23870967741936,126.4516129032258
91942,1,2021,R,N,18042,6952253.0,385.0,electricity,0.0,0.0,16,12.75483870967742,10.083870967741936,36998.01774193549,32171.52774193548,1.8129032258064517,1.8129032258064517,0.0,2.774193548387097,18.151612903225807,36.10967741935484,128.1290322580645
91945,1,2021,R,N,9346,3823158.0,409.0,electricity,0.0,0.0,17,13.119354838709675,10.583870967741936,37016.00677419355,32171.044516129037,2.1419354838709674,2.1419354838709674,0.0,2.903225806451613,17.003225806451614,34.196774193548386,153.5483870967742
91950,1,2021,R,Y,16159,6376406.0,395.0,electricity,0.0,0.0,19,13.209677419354838,10.519354838709678,37033.96741935484,32304.90258064516,1.5612903225806452,1.5612903225806452,0.0,2.7096774193548385,19.741935483870968,36.79354838709677,152.5806451612903
91977,1,2021,R,N,19038,8390149.0,441.0,electricity,0.0,0.0,22,13.261290322580646,10.63225806451613,37016.00677419355,31977.265483870968,2.2451612903225806,2.229032258064516,0.0112903225806451,3.161290322580645,15.27741935483871,36.44193548387097,154.8709677419355
91978,1,2021,R,N,2979,1808801.0,607.0,electricity,0.0,0.0,23,12.925806451612903,10.22258064516129,37016.00677419355,31977.265483870968,2.2451612903225806,2.229032258064516,0.0112903225806451,3.161290322580645,15.27741935483871,36.44193548387097,154.8709677419355
92003,1,2021,R,N,1876,1406454.0,750.0,electricity,0.0,0.0,25,13.080645161290322,10.67741935483871,36871.22774193549,31929.52258064516,1.9225806451612903,1.9225806451612903,0.0,2.419354838709677,14.35483870967742,33.62903225806452,113.61290322580643
92004,1,2021,R,Y,2318,1224640.0,528.0,electricity,0.0,0.0,26,14.087096774193547,10.609677419354838,36889.4335483871,31335.29806451613,0.4354838709677419,0.4354838709677419,0.0,1.1935483870967742,15.925806451612903,26.396774193548385,248.1290322580645
92007,1,2021,R,N,4643,2079833.0,448.0,electricity,0.0,0.0,27,12.996774193548386,10.551612903225807,36943.86451612903,31986.09193548387,1.096774193548387,1.096774193548387,0.0,2.3225806451612905,18.18064516129032,36.461290322580645,129.48387096774192
92008,1,2021,R,N,12617,5476397.0,434.0,electricity,0.0,0.0,28,12.53225806451613,10.283870967741937,36907.60741935484,31871.14774193548,2.096774193548387,2.096774193548387,0.0,2.290322580645161,18.60967741935484,34.44193548387097,135.6451612903226
92009,1,2021,R,N,17011,7849177.0,461.0,electricity,0.0,0.0,29,12.13548387096774,9.841935483870968,36925.75322580645,32074.27741935484,2.129032258064516,2.129032258064516,0.0,2.548387096774193,17.541935483870965,34.60322580645161,126.06451612903226
92010,1,2021,R,N,7051,3164282.0,449.0,electricity,0.0,0.0,30,12.516129032258064,10.238709677419354,36907.60741935484,31871.14774193548,2.096774193548387,2.096774193548387,0.0,2.290322580645161,18.60967741935484,34.44193548387097,135.6451612903226
92011,1,2021,R,N,9738,5086663.0,522.0,electricity,0.0,0.0,31,12.374193548387098,10.138709677419357,36925.75322580645,32074.27741935484,2.129032258064516,2.129032258064516,0.0,2.548387096774193,17.541935483870965,34.60322580645161,126.06451612903226
92014,1,2021,R,N,6452,3823130.0,593.0,electricity,0.0,0.0,32,13.235483870967744,11.006451612903223,36961.94677419355,31900.86935483871,1.219354838709677,1.219354838709677,0.0,2.3548387096774195,17.625806451612902,34.55483870967742,135.67741935483872
92019,1,2021,R,N,14973,7370374.0,492.0,electricity,0.0,0.0,33,13.432258064516128,10.887096774193548,36998.01774193549,32061.537096774195,2.551612903225806,2.551612903225806,0.0,2.870967741935484,16.10322580645161,38.23870967741936,126.4516129032258
92020,1,2021,R,N,21203,9180666.0,433.0,electricity,0.0,0.0,34,13.50967741935484,10.99032258064516,36998.01774193549,32061.537096774195,2.551612903225806,2.551612903225806,0.0,2.870967741935484,16.10322580645161,38.23870967741936,126.4516129032258
92021,1,2021,R,N,21868,10724906.0,490.0,electricity,0.0,0.0,35,12.851612903225806,10.22258064516129,36979.99741935483,31414.28580645161,2.2451612903225806,2.2419354838709675,0.002258064516129,2.935483870967742,15.74516129032258,35.961290322580645,138.25806451612902
92024,1,2021,R,Y,19872,10154698.0,511.0,electricity,0.0,0.0,36,12.34516129032258,10.112903225806452,36925.75322580645,32074.27741935484,2.129032258064516,2.129032258064516,0.0,2.548387096774193,17.541935483870965,34.60322580645161,126.06451612903226
92025,1,2021,R,Y,15985,7015330.0,439.0,electricity,0.0,0.0,37,12.587096774193547,10.17741935483871,36925.75322580645,31887.259354838712,2.8645161290322583,2.851612903225807,0.0090322580645161,2.7096774193548385,16.40967741935484,35.08064516129032,119.51612903225806
92026,1,2021,R,Y,18362,8979138.0,489.0,electricity,0.0,0.0,38,11.819354838709677,9.04516129032258,36889.4335483871,31553.369032258062,1.970967741935484,1.896774193548387,0.0519354838709677,2.677419354838709,14.390322580645162,32.89677419354839,118.51612903225806
92027,1,2021,R,Y,16488,7304089.0,443.0,electricity,0.0,0.0,39,10.62258064516129,7.448387096774193,36907.60741935484,30710.33129032258,2.3451612903225807,2.290322580645161,0.0383870967741935,3.161290322580645,15.99032258064516,39.722580645161294,103.3225806451613
92028,1,2021,R,Y,17220,9781223.0,568.0,electricity,0.0,0.0,40,12.687096774193549,10.258064516129032,36852.989354838704,31747.14935483871,2.1225806451612903,2.096774193548387,0.0180645161290322,2.5806451612903225,12.241935483870968,31.31290322580645,112.38709677419357
92029,1,2021,R,N,7340,3876610.0,528.0,electricity,0.0,0.0,41,11.583870967741936,8.958064516129031,36925.75322580645,31887.259354838712,2.8645161290322583,2.851612903225807,0.0090322580645161,2.7096774193548385,16.40967741935484,35.08064516129032,119.51612903225806
92036,1,2021,R,Y,2394,1665091.0,696.0,electricity,0.0,0.0,42,9.67741935483871,6.22258064516129,36943.86451612903,30860.57193548387,1.2258064516129032,1.029032258064516,0.1377419354838709,2.3548387096774195,10.76774193548387,40.9483870967742,202.93548387096772
92037,1,2021,R,Y,19780,11460952.0,579.0,electricity,0.0,0.0,43,13.358064516129032,10.86451612903226,36979.99741935483,32104.67483870968,1.441935483870968,1.441935483870968,0.0,2.3548387096774195,18.106451612903225,38.84838709677419,129.8709677419355
92040,1,2021,R,N,14410,8185306.0,568.0,electricity,0.0,0.0,44,11.69032258064516,8.658064516129032,36961.94677419355,30961.88483870968,2.92258064516129,2.7774193548387096,0.1016129032258064,3.3225806451612905,16.932258064516127,47.94193548387097,123.80645161290325
92054,1,2021,R,Y,16455,6943586.0,422.0,electricity,0.0,0.0,45,12.703225806451613,10.332258064516129,36889.4335483871,31854.733548387096,1.8580645161290323,1.8580645161290323,0.0,2.290322580645161,19.59354838709677,33.2,114.64516129032258
92056,1,2021,R,N,20861,8325434.0,399.0,electricity,0.0,0.0,47,12.148387096774194,9.770967741935484,36889.4335483871,31841.351290322586,2.161290322580645,2.161290322580645,0.0,2.3548387096774195,17.483870967741936,32.37096774193548,123.41935483870968
92057,1,2021,R,N,20227,8119437.0,401.0,electricity,0.0,0.0,48,12.958064516129031,10.641935483870968,36871.22774193549,31911.91774193548,2.341935483870968,2.341935483870968,0.0,2.3870967741935485,16.083870967741937,34.34516129032258,110.83870967741936
92058,1,2021,R,Y,7395,4257159.0,576.0,electricity,0.0,0.0,49,12.661290322580646,10.27741935483871,36871.22774193549,31911.91774193548,2.341935483870968,2.341935483870968,0.0,2.3870967741935485,16.083870967741937,34.34516129032258,110.83870967741936
92059,1,2021,R,N,547,457656.0,837.0,electricity,0.0,0.0,50,12.261290322580646,9.741935483870968,36852.989354838704,31747.14935483871,2.1225806451612903,2.096774193548387,0.0180645161290322,2.5806451612903225,12.241935483870968,31.31290322580645,112.38709677419357
92061,1,2021,R,N,1020,986279.0,967.0,electricity,0.0,0.0,52,12.003225806451614,9.583870967741936,36871.22774193549,31374.820322580643,2.916129032258065,2.4645161290322584,0.3161290322580645,2.774193548387097,9.964516129032257,36.49354838709677,139.4193548387097
92064,1,2021,R,Y,15756,7969004.0,506.0,electricity,0.0,0.0,53,12.26774193548387,9.693548387096774,36943.86451612903,31834.0335483871,3.8225806451612905,3.812903225806452,0.006774193548387,2.774193548387097,16.170967741935485,37.01290322580645,108.41935483870968
92065,1,2021,R,Y,12469,8605309.0,690.0,electricity,0.0,0.0,54,11.16451612903226,7.806451612903226,36925.75322580645,30725.288064516128,2.174193548387097,2.1354838709677417,0.0270967741935483,3.3548387096774195,18.58709677419355,37.31935483870968,122.0
92067,1,2021,R,N,3977,6487883.0,1631.0,electricity,0.0,0.0,56,12.80967741935484,10.4,36943.86451612903,31921.179032258067,2.570967741935484,2.570967741935484,0.0,2.7419354838709675,17.080645161290324,36.69677419354839,116.7741935483871
92069,1,2021,R,Y,15321,6359897.0,415.0,electricity,0.0,0.0,57,12.061290322580644,9.46774193548387,36907.60741935484,31900.54129032258,1.974193548387097,1.974193548387097,0.0,2.3225806451612905,16.938709677419357,34.39677419354839,118.58064516129032
92071,1,2021,R,Y,20196,8946635.0,443.0,electricity,0.0,0.0,59,13.26774193548387,10.787096774193548,36979.99741935483,31890.378709677418,2.5580645161290323,2.5580645161290323,0.0,2.967741935483871,17.335483870967742,35.76774193548387,119.64516129032258
92075,1,2021,R,N,6084,3229896.0,531.0,electricity,0.0,0.0,60,12.935483870967742,10.458064516129031,36943.86451612903,31986.09193548387,1.096774193548387,1.096774193548387,0.0,2.3225806451612905,18.18064516129032,36.461290322580645,129.48387096774192
92078,1,2021,R,N,17749,8350434.0,470.0,electricity,0.0,0.0,61,11.903225806451612,9.287096774193548,36907.60741935484,31900.54129032258,1.974193548387097,1.974193548387097,0.0,2.3225806451612905,16.938709677419357,34.39677419354839,118.58064516129032
92081,1,2021,R,Y,11802,4793770.0,406.0,electricity,0.0,0.0,62,11.94516129032258,9.574193548387097,36907.60741935484,31871.14774193548,2.096774193548387,2.096774193548387,0.0,2.290322580645161,18.60967741935484,34.44193548387097,135.6451612903226
92082,1,2021,R,Y,6370,4936334.0,775.0,electricity,0.0,0.0,63,11.941935483870967,9.519354838709678,36871.22774193549,31374.820322580643,2.916129032258065,2.4645161290322584,0.3161290322580645,2.774193548387097,9.964516129032257,36.49354838709677,139.4193548387097
92083,1,2021,R,N,12011,5175983.0,431.0,electricity,0.0,0.0,64,12.074193548387097,9.667741935483871,36889.4335483871,31841.351290322586,2.161290322580645,2.161290322580645,0.0,2.3548387096774195,17.483870967741936,32.37096774193548,123.41935483870968
92084,1,2021,R,Y,15546,7980917.0,513.0,electricity,0.0,0.0,65,11.706451612903225,9.058064516129033,36889.4335483871,31863.81967741936,1.929032258064516,1.929032258064516,0.0,2.3870967741935485,15.912903225806453,34.28387096774193,119.87096774193547
92086,1,2021,R,Y,454,830625.0,1830.0,electricity,0.0,0.0,66,10.125806451612902,6.670967741935484,36871.22774193549,31602.13193548387,1.6935483870967742,1.0193548387096774,0.4719354838709678,2.5806451612903225,12.390322580645162,54.2258064516129,167.06451612903226
92091,1,2021,R,N,1018,912707.0,897.0,electricity,0.0,0.0,67,12.73225806451613,10.312903225806451,36943.86451612903,31921.179032258067,2.570967741935484,2.570967741935484,0.0,2.7419354838709675,17.080645161290324,36.69677419354839,116.7741935483871
92101,1,2021,R,Y,27253,9495339.0,348.0,electricity,0.0,0.0,71,13.183870967741935,10.658064516129032,37016.00677419355,32286.09677419355,1.5516129032258066,1.5516129032258066,0.0,2.3870967741935485,19.529032258064515,35.42258064516129,150.1290322580645
92102,1,2021,R,N,14476,5110625.0,353.0,electricity,0.0,0.0,72,13.006451612903223,10.432258064516128,37016.00677419355,32286.09677419355,1.5516129032258066,1.5516129032258066,0.0,2.3870967741935485,19.529032258064515,35.42258064516129,150.1290322580645
92103,1,2021,R,Y,19227,6844331.0,356.0,electricity,0.0,0.0,73,12.63548387096774,10.0,37016.00677419355,32286.09677419355,1.5516129032258066,1.5516129032258066,0.0,2.3870967741935485,19.529032258064515,35.42258064516129,150.1290322580645
92104,1,2021,R,N,24191,7149038.0,296.0,electricity,0.0,0.0,74,12.519354838709678,9.83548387096774,37016.00677419355,32286.09677419355,1.5516129032258066,1.5516129032258066,0.0,2.3870967741935485,19.529032258064515,35.42258064516129,150.1290322580645
92105,1,2021,R,N,21892,7714483.0,352.0,electricity,0.0,0.0,75,12.683870967741935,10.038709677419355,37016.00677419355,32286.09677419355,1.5516129032258066,1.5516129032258066,0.0,2.3870967741935485,19.529032258064515,35.42258064516129,150.1290322580645
92106,1,2021,R,Y,7829,3877412.0,495.0,electricity,0.0,0.0,76,13.09032258064516,10.525806451612905,37016.00677419355,32286.09677419355,1.5516129032258066,1.5516129032258066,0.0,2.3870967741935485,19.529032258064515,35.42258064516129,150.1290322580645
92107,1,2021,R,N,14352,5441569.0,379.0,electricity,0.0,0.0,77,12.803225806451612,10.180645161290323,37016.00677419355,32286.09677419355,1.5516129032258066,1.5516129032258066,0.0,2.3870967741935485,19.529032258064515,35.42258064516129,150.1290322580645
92108,1,2021,R,N,14967,5083970.0,340.0,electricity,0.0,0.0,78,13.235483870967744,10.738709677419354,36998.01774193549,32290.983870967742,1.4870967741935484,1.4870967741935484,0.0,2.290322580645161,18.703225806451613,37.980645161290326,171.0
