ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh,energy_type,TotalTherms,AverageTherms
91901,1,2021,R,Y,8377,5606431.0,669.0,electricity,0.0,0.0
91902,1,2021,R,N,6213,3277281.0,527.0,electricity,0.0,0.0
91905,1,2021,R,Y,301,221271.0,735.0,electricity,0.0,0.0
91906,1,2021,R,Y,2024,1634976.0,808.0,electricity,0.0,0.0
91910,1,2021,R,Y,25984,10347161.0,398.0,electricity,0.0,0.0
91911,1,2021,R,Y,24090,10420799.0,433.0,electricity,0.0,0.0
91913,1,2021,R,N,17415,6886122.0,395.0,electricity,0.0,0.0
91914,1,2021,R,N,5148,2266120.0,440.0,electricity,0.0,0.0
91915,1,2021,R,Y,10729,4211013.0,392.0,electricity,0.0,0.0
91917,1,2021,R,N,225,225888.0,1004.0,electricity,0.0,0.0
91932,1,2021,R,N,10329,3570765.0,346.0,electricity,0.0,0.0
91935,1,2021,R,N,2902,2315476.0,798.0,electricity,0.0,0.0
91941,1,2021,R,N,12876,6078990.0,472.0,electricity,0.0,0.0
91942,1,2021,R,N,18042,6952253.0,385.0,electricity,0.0,0.0
91945,1,2021,R,N,9346,3823158.0,409.0,electricity,0.0,0.0
91950,1,2021,R,Y,16159,6376406.0,395.0,electricity,0.0,0.0
91977,1,2021,R,N,19038,8390149.0,441.0,electricity,0.0,0.0
91978,1,2021,R,N,2979,1808801.0,607.0,electricity,0.0,0.0
92003,1,2021,R,N,1876,1406454.0,750.0,electricity,0.0,0.0
92004,1,2021,R,Y,2318,1224640.0,528.0,electricity,0.0,0.0
92007,1,2021,R,N,4643,2079833.0,448.0,electricity,0.0,0.0
92008,1,2021,R,N,12617,5476397.0,434.0,electricity,0.0,0.0
92009,1,2021,R,N,17011,7849177.0,461.0,electricity,0.0,0.0
92010,1,2021,R,N,7051,3164282.0,449.0,electricity,0.0,0.0
92011,1,2021,R,N,9738,5086663.0,522.0,electricity,0.0,0.0
92014,1,2021,R,N,6452,3823130.0,593.0,electricity,0.0,0.0
92019,1,2021,R,N,14973,7370374.0,492.0,electricity,0.0,0.0
92020,1,2021,R,N,21203,9180666.0,433.0,electricity,0.0,0.0
92021,1,2021,R,N,21868,10724906.0,490.0,electricity,0.0,0.0
92024,1,2021,R,Y,19872,10154698.0,511.0,electricity,0.0,0.0
92025,1,2021,R,Y,15985,7015330.0,439.0,electricity,0.0,0.0
92026,1,2021,R,Y,18362,8979138.0,489.0,electricity,0.0,0.0
92027,1,2021,R,Y,16488,7304089.0,443.0,electricity,0.0,0.0
92028,1,2021,R,Y,17220,9781223.0,568.0,electricity,0.0,0.0
92029,1,2021,R,N,7340,3876610.0,528.0,electricity,0.0,0.0
92036,1,2021,R,Y,2394,1665091.0,696.0,electricity,0.0,0.0
92037,1,2021,R,Y,19780,11460952.0,579.0,electricity,0.0,0.0
92040,1,2021,R,N,14410,8185306.0,568.0,electricity,0.0,0.0
92054,1,2021,R,Y,16455,6943586.0,422.0,electricity,0.0,0.0
92056,1,2021,R,N,20861,8325434.0,399.0,electricity,0.0,0.0
92057,1,2021,R,N,20227,8119437.0,401.0,electricity,0.0,0.0
92058,1,2021,R,Y,7395,4257159.0,576.0,electricity,0.0,0.0
92059,1,2021,R,N,547,457656.0,837.0,electricity,0.0,0.0
92061,1,2021,R,N,1020,986279.0,967.0,electricity,0.0,0.0
92064,1,2021,R,Y,15756,7969004.0,506.0,electricity,0.0,0.0
92065,1,2021,R,Y,12469,8605309.0,690.0,electricity,0.0,0.0
92067,1,2021,R,N,3977,6487883.0,1631.0,electricity,0.0,0.0
92069,1,2021,R,Y,15321,6359897.0,415.0,electricity,0.0,0.0
